,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,3465342,Corumbá,7,BR,1655102534,46,-19.0092,-57.6533,46.62,1.5
109,2290956,Bouaké,50,CI,1655102535,100,7.6895,-5.0218,71.71,6.91
110,3355672,Lüderitz,100,NA,1655102409,64,-26.6481,15.1594,59.61,9.66
111,4362001,Mayo,20,US,1655102536,92,38.8876,-76.5119,74.28,4.61
112,5367788,Lompoc,100,US,1655102536,88,34.6391,-120.4579,64.78,17.0
113,5919850,Chapais,81,CA,1655102537,98,49.7834,-74.8492,51.58,3.6
114,777019,Vardø,75,NO,1655102537,61,70.3705,31.1107,48.18,16.11
115,1526038,Atbasar,36,KZ,1655102538,47,51.8,68.3333,75.11,14.97
116,1526038,Atbasar,36,KZ,1655102538,47,51.8,68.3333,75.11,14.97
117,546105,Nikolskoye,10,RU,1655102539,54,59.7035,30.7861,68.72,6.17
118,546105,Nikolskoye,10,RU,1655102539,54,59.7035,30.7861,68.72,6.17
119,5906757,Bow Island,73,CA,1655102541,67,49.8668,-111.3684,61.09,10.36
120,2264557,Ponta do Sol,38,PT,1655102542,77,32.6667,-17.1,69.01,0.92
121,3175096,Laas,100,IT,1655102542,77,46.6166,10.7002,63.7,2.26
122,5855927,Hilo,40,US,1655102543,89,19.7297,-155.09,79.29,7.0
123,2389804,Baoro,100,CF,1655102543,96,5.6667,15.9667,68.02,3.04
124,1006984,East London,0,ZA,1655102544,29,-33.0153,27.9116,76.14,18.41
125,5866583,Saint Paul Harbor,0,US,1655102513,59,57.79,-152.4072,60.31,8.05
126,4100525,Batesville,0,US,1655102545,86,35.7698,-91.641,82.94,12.66
127,2015306,Tiksi,46,RU,1655102545,65,71.6872,128.8694,45.01,7.4
128,3465080,Cruzeiro do Sul,0,BR,1655102546,96,-29.5128,-51.9853,45.52,3.58
129,3465080,Cruzeiro do Sul,0,BR,1655102546,96,-29.5128,-51.9853,45.52,3.58
130,3443061,Chui,9,UY,1655102547,95,-33.6971,-53.4616,44.8,4.25
131,3374210,São Filipe,5,CV,1655102547,83,14.8961,-24.4956,72.88,8.59
132,3471451,Arraial do Cabo,100,BR,1655102548,66,-22.9661,-42.0278,67.03,25.05
133,3356343,Karasburg,100,NA,1655102410,37,-28.0167,18.75,59.32,7.25
134,1024312,Mocuba,16,MZ,1655102548,85,-16.8392,36.9856,68.79,3.06
135,6137462,Saint-Augustin,26,CA,1655102549,84,51.226,-58.6502,46.24,3.38
136,6137462,Saint-Augustin,26,CA,1655102549,84,51.226,-58.6502,46.24,3.38
137,2542997,Marrakesh,14,MA,1655102550,32,31.6315,-8.0083,86.07,6.91
138,3909234,Oruro,0,BO,1655102551,37,-17.9833,-67.15,29.8,2.55
139,3909234,Oruro,0,BO,1655102551,37,-17.9833,-67.15,29.8,2.55
140,6149996,Smithers,0,CA,1655102552,76,54.7804,-127.1743,46.72,4.61
